Version,Size (x86),Size (x64),Comment
3.10,0x70,,
3.50,0x70,,
3.51,0x98,,
4.0,0x0150,,
5.0,0x01E8,,
5.1 to 5.1 SP1,0x0210,,early 5.1 (before SP2)
5.1 SP2 to 5.1 Final,0x0210,,late 5.1 (SP2 and higher)
5.2,0x0230,0x0358,early 5.2 (before SP1)
5.2 SP1 to 5.2 Final,0x0230,0x0358,late 5.2 (SP1 and higher)
6.0,0x0238,0x0368,
6.1,0x0248,0x0380,
6.2 to 10.0 ,0x0250,0x0388,
10.0 1511 to 1703,0x0460,0x07A0,
10.0 1709,0x0468,0x07B0,
10.0 1803,0x0470,0x07B8,
10.0 1809 to 2004,0x0480,0x07C8,
